"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessName","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"audiodg","0","174","2203417231360","15626240","8888320","11552",,,,,"0.609375",,,,,"Process",,,"8",,,"2021-12-01 오전 10:43:29",,"21200",".",,,,"11552","11552","8888320","8888320","115528","115528","13824000","13824000","20291584","20291584","2203423334400","105111552",,,"8888320","8888320","audiodg",,"0",,"System.Diagnostics.ProcessThreadCollection","174","2203417231360","99008512","False",,,,"15626240","15626240",,,"00:00:00.1562500","00:00:00.6093750","00:00:00.4531250","0","","True",,
"Calculator","1","583","4715687936","1691648","23793664","31840","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca",,"Microsoft Corporation","0.5625","10.2103.8.0","10.2103.8.0","Calculator.exe","Microsoft Calculator","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5784","8",,"False","2021-12-01 오전 8:20:26",,"9608",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","31840","31840","23793664","23793664","752344","752344","27934720","27934720","64315392","64315392","4719882240","424914944","True","Normal","23793664","23793664","Calculator","63","1",,"System.Diagnostics.ProcessThreadCollection","583","4715687936","420720640","False",,,,"1691648","1691648",,"System.Diagnostics.ProcessModule (Calculator.exe)","00:00:00.3593750","00:00:00.5625000","00:00:00.2031250","67398","계산기","False",,
"CefSharp.BrowserSubprocess","1","793","965853184","42434560","547508224","45880","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","CefSharp.BrowserSubprocess.exe --type=gpu-process --disable-features=AsyncWheelEvents,SurfaceSynchronization --no-sandbox --log-file=""C:\ProgramData\Razer\Razer Central\Logs\cef_Mark.Yoo.log"" --log-severity=info --lang=en-US --cefsharpexitsub --gpu-preferences=KAAAAAAAAACAAwCAAQAAAAAAAAAAAGAAEAAAAAAAAAAAAAAAAAAAACgAAAAEAAAAIAAAAAAAAAAoAAAAAAAAADAAAAAAAAAAOAAAAAAAAAAQAAAAAAAAAAAAAAAKAAAAEAAAAAAAAAAAAAAACwAAABAAAAAAAAAAAQAAAAoAAAAQAAAAAAAAAAEAAAALAAAA --log-file=""C:\ProgramData\Razer\Razer Central\Logs\cef_Mark.Yoo.log"" --log-severity=info --lang=en-US --cefsharpexitsub --service-request-channel-token=CE621FA51B9E7FD8CCA4A368E2BF5946 --mojo-platform-channel-handle=2204 /prefetch:2 --host-process-id=14676 --host-process-id=14676","System.Diagnostics.Process (Razer Central)","The CefSharp Authors","0.25","67.0.0.0","67.0.0.0","CefSharp.BrowserSubprocess","CefSharp","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8700","8",,"False","2021-12-01 오전 8:19:34",,"15140",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","45880","45880","547508224","547508224","693008","693008","551071744","551071744","44351488","44351488","978038784","978038784","True","Normal","547508224","547508224","CefSharp.BrowserSubprocess","63","1",,"System.Diagnostics.ProcessThreadCollection","793","965853184","965853184","False",,,,"42434560","42434560",,"System.Diagnostics.ProcessModule (CefSharp.BrowserSubprocess.exe)","00:00:00.1875000","00:00:00.2500000","00:00:00.0625000","0","","True",,
"CefSharp.BrowserSubprocess","1","489","643747840","104726528","81682432","45920","C:\Program Files (x86)\Razer\Razer Services\Razer Central\CefSharp.BrowserSubprocess.exe","CefSharp.BrowserSubprocess.exe --type=renderer --no-sandbox --disable-features=AsyncWheelEvents,SurfaceSynchronization --service-pipe-token=D73C7E44481B61CF346807B54CDB271D --lang=en-US --log-file=""C:\ProgramData\Razer\Razer Central\Logs\cef_Mark.Yoo.log"" --log-severity=info --enable-system-flash=1 --cefsharpexitsub --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --service-request-channel-token=D73C7E44481B61CF346807B54CDB271D --renderer-client-id=3 --mojo-platform-channel-handle=5708 /prefetch:1 --host-process-id=14676","System.Diagnostics.Process (Razer Central)","The CefSharp Authors","1.953125","67.0.0.0","67.0.0.0","CefSharp.BrowserSubprocess","CefSharp","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7864","8",,"False","2021-12-01 오전 8:19:37",,"15796",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","45920","45920","81682432","81682432","984608","984608","87728128","87728128","110419968","110419968","673492992","673492992","True","Normal","81682432","81682432","CefSharp.BrowserSubprocess","63","1",,"System.Diagnostics.ProcessThreadCollection","489","643747840","643747840","False",,,,"104726528","104726528",,"System.Diagnostics.ProcessModule (CefSharp.BrowserSubprocess.exe)","00:00:00.2500000","00:00:01.9531250","00:00:01.7031250","0","","True",,
"chrome","1","222","2263855013888","27201536","13758464","13656","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=145 --mojo-platform-channel-handle=6796 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.0625","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5624","4",,"False","2021-12-01 오전 10:11:19",,"6648",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13656","13656","13758464","13758464","507192","507192","13770752","13770752","27246592","27246592","2268097421312","354689024","True","Idle","13758464","13758464","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","222","2263855013888","407248896","False",,,,"27201536","27201536",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0468750","00:00:00.0625000","00:00:00.0156250","0","","True",,
"chrome","1","434","2268276842496","350875648","305549312","22656","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --extension-process --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=26 --mojo-platform-channel-handle=7436 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","455.171875","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6564","8",,"False","2021-12-01 오전 8:26:40",,"10268",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","22656","22656","305549312","305549312","615480","615480","367509504","367509504","417837056","417837056","2272576495616","538796032","True","Normal","305549312","305549312","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","434","2268276842496","534110208","False",,,,"350875648","350875648",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:23.5000000","00:07:35.1718750","00:07:11.6718750","0","","True",,
"chrome","1","285","2255253512192","21037056","7864320","17440","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --service-sandbox-type=audio --mojo-platform-channel-handle=3320 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","2.078125","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9896","8",,"False","2021-12-01 오전 8:26:52",,"15436",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17440","17440","7864320","7864320","561000","561000","7946240","7946240","21229568","21229568","2255261925376","404094976","True","Normal","7864320","7864320","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","285","2255253512192","395681792","False",,,,"21037056","21037056",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.7031250","00:00:02.0781250","00:00:01.3750000","0","","True",,
"chrome","1","322","2263943561216","87015424","46903296","19504","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=108 --mojo-platform-channel-handle=9052 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","1.390625","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","2596","4",,"False","2021-12-01 오전 9:15:42",,"15600",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19504","19504","46903296","46903296","679912","679912","52916224","52916224","99745792","99745792","2268097421312","354689024","True","Idle","46903296","46903296","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","322","2263943561216","495796224","False",,,,"87015424","87015424",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.1718750","00:00:01.3906250","00:00:01.2187500","0","","True",,
"chrome","1","353","2263870423040","94797824","52711424","16376","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=33 --mojo-platform-channel-handle=3952 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","3.265625","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","5512","4",,"False","2021-12-01 오전 8:28:02",,"15624",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16376","16376","52711424","52711424","516584","516584","77971456","77971456","119885824","119885824","2268097421312","354689024","True","Idle","52711424","52711424","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","353","2263870423040","422658048","False",,,,"94797824","94797824",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.3437500","00:00:03.2656250","00:00:02.9218750","0","","True",,
"chrome","1","238","2263855017984","39415808","15761408","13792","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --extension-process --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=5 --mojo-platform-channel-handle=3772 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.078125","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8928","8",,"False","2021-12-01 오전 8:19:45",,"16480",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13792","13792","15761408","15761408","494688","494688","16400384","16400384","39985152","39985152","2268097421312","354689024","True","Normal","15761408","15761408","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","238","2263855017984","407252992","False",,,,"39415808","39415808",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0156250","00:00:00.0781250","00:00:00.0625000","0","","True",,
"chrome","1","1728","2255689887744","206184448","109432832","67768","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" ","System.Diagnostics.Process (explorer)","Google LLC","89.609375","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6776","8",,"False","2021-12-01 오전 8:19:43",,"16740",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","67768","67768","109432832","109432832","1082736","1082736","163557376","163557376","281669632","281669632","2255860973568","1003143168","True","Normal","109432832","109432832","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","1728","2255689887744","832057344","False",,,,"206184448","206184448",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:47.9375000","00:01:29.6093750","00:00:41.6718750","67164","PowerShell Master Class - Connecting Commands Together - YouTube - Chrome","True",,
"chrome","1","203","2237831917568","7553024","2097152","9376","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=crashpad-handler ""--user-data-dir=C:\Users\Mark.Yoo\AppData\Local\Google\Chrome\User Data"" /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\Mark.Yoo\AppData\Local\Google\Chrome\User Data\Crashpad"" ""--metrics-dir=C:\Users\Mark.Yoo\AppData\Local\Google\Chrome\User Data"" --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=Win64 --annotation=prod=Chrome --annotation=ver=96.0.4664.45 --initial-client-data=0xf4,0xf8,0xfc,0xf0,0x9c,0x7ffa47d8c3e0,0x7ffa47d8c3f0,0x7ffa47d8c400","System.Diagnostics.Process (chrome)","Google LLC","0.0625","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9464","8",,"False","2021-12-01 오전 8:19:44",,"16820",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","9376","9376","2097152","2097152","128984","128984","2146304","2146304","7610368","7610368","2237856210944","178249728","True","Normal","2097152","2097152","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","203","2237831917568","153956352","False",,,,"7553024","7553024",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.0468750","00:00:00.0625000","00:00:00.0156250","0","","True",,
"chrome","1","816","2256473509888","192040960","254074880","43336","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=gpu-process --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAIAAAAAwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAANAAAAEAAAAAAAAAABAAAADQAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1736 /prefetch:2","System.Diagnostics.Process (chrome)","Google LLC","250.265625","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6528","10",,"False","2021-12-01 오전 8:19:44",,"17172",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","43336","43336","254074880","254074880","964152","964152","908324864","908324864","218316800","218316800","2256647041024","1789210624","True","AboveNormal","254074880","254074880","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","816","2256473509888","1615679488","False",,,,"192040960","192040960",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:46","00:04:10.2656250","00:03:24.2656250","0","","True",,
"chrome","1","342","2255287037952","46006272","24002560","24176","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --service-sandbox-type=none --mojo-platform-channel-handle=1964 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","26.671875","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7224","8",,"False","2021-12-01 오전 8:19:44",,"17180",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","24176","24176","24002560","24002560","573192","573192","30875648","30875648","53358592","53358592","2255405535232","547704832","True","Normal","24002560","24002560","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","342","2255287037952","429207552","False",,,,"46006272","46006272",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:11.6562500","00:00:26.6718750","00:00:15.0156250","0","","True",,
"chrome","1","211","2255218192384","17657856","7757824","13048","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --service-sandbox-type=utility --mojo-platform-channel-handle=2188 /prefetch:8","System.Diagnostics.Process (chrome)","Google LLC","0.265625","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8316","8",,"False","2021-12-01 오전 8:19:44",,"17192",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13048","13048","7757824","7757824","518832","518832","15011840","15011840","24678400","24678400","2255226580992","368750592","True","Normal","7757824","7757824","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","211","2255218192384","360361984","False",,,,"17657856","17657856",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.1093750","00:00:00.2656250","00:00:00.1562500","0","","True",,
"chrome","1","293","2263871705088","78192640","36663296","16240","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=114 --mojo-platform-channel-handle=8720 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","0.578125","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6432","4",,"False","2021-12-01 오전 9:20:06",,"20408",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","16240","16240","36663296","36663296","539568","539568","44658688","44658688","90427392","90427392","2268097421312","354689024","True","Idle","36663296","36663296","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","293","2263871705088","423940096","False",,,,"78192640","78192640",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.1093750","00:00:00.5781250","00:00:00.4687500","0","","True",,
"chrome","1","316","2263925510144","91729920","49364992","17192","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=107 --mojo-platform-channel-handle=8760 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","1.25","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7588","4",,"False","2021-12-01 오전 9:15:39",,"21036",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17192","17192","49364992","49364992","644656","644656","63336448","63336448","110395392","110395392","2268097421312","354689024","True","Idle","49364992","49364992","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","316","2263925510144","477745152","False",,,,"91729920","91729920",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.1250000","00:00:01.2500000","00:00:01.1250000","0","","True",,
"chrome","1","284","2263865724928","86560768","46002176","15696","C:\Program Files\Google\Chrome\Application\chrome.exe","""C:\Program Files\Google\Chrome\Application\chrome.exe"" --type=renderer --display-capture-permissions-policy-allowed --origin-trial-disabled-features=CaptureHandle --field-trial-handle=1692,8095120849405736236,10675757324512245818,131072 --lang=ko --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --renderer-client-id=115 --mojo-platform-channel-handle=8712 /prefetch:1","System.Diagnostics.Process (chrome)","Google LLC","1.03125","96.0.4664.45","96.0.4664.45","Google Chrome","Google Chrome","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7476","4",,"False","2021-12-01 오전 9:20:26",,"21116",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","15696","15696","46002176","46002176","527888","527888","46002176","46002176","92307456","92307456","2268097421312","354689024","True","Idle","46002176","46002176","chrome","63","1",,"System.Diagnostics.ProcessThreadCollection","284","2263865724928","417959936","False",,,,"86560768","86560768",,"System.Diagnostics.ProcessModule (chrome.exe)","00:00:00.1718750","00:00:01.0312500","00:00:00.8593750","0","","True",,
